Text,Emotional,Framing,Decisive,Explanation,Rewrite,Emotional (R),Framing (R),Decisive (R),Article Link,Source,Source Reli,Source Bias
"“‘The most important task of the Democratic Party is to organize … the most robust debate Democrats have had in a generation,’ said William A. Galston of the Brookings Institution, a former Clinton aide who argues that the party needs to move to the center.”",2,4,3,A neutral quote advocating for internal debate and a strategic shift.,Analyst William A. Galston argued that the party's most important task is to organize a robust internal debate.,2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“Most Democrats also agree that they need to focus on a positive message on economic issues such as the cost of living — to use this year’s buzzword, ‘affordability.’ But they differ on the specifics.”",2,3,2,Neutral reporting on party strategy.,"Many Democrats say they plan to emphasize economic issues, including the cost of living and affordability, but they express different views on how to do so.",2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“Progressives like Sen. Bernie Sanders (I-Vt.) and Rep. Alexandria Ocasio-Cortez (D-N.Y.) have focused on ‘fighting oligarchy,’ including higher taxes on the wealthy and government-run health insurance.”",4,6,6,"Fighting oligarchy is a charged, populist phrase that frames the economic debate as a battle against a powerful ""them"" (the oligarchy).","Senators and Representatives, including Bernie Sanders and Alexandria Ocasio-Cortez, have advocated for higher taxes on high-income households and expanded government health insurance programs.",2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
“A sharper debate has opened over social and cultural issues: Should Democrats break with the identity politics — the stuff Republicans deride as ‘woke’ — that animates much of their progressive wing? Moderate Democrats argue that ‘wokeness’ has alienated voters in the center and made it impossible to win presidential elections.”,5,6,7,"Reports an internal debate but uses the politically charged term ""woke"" (and ""deride""). Framing is inherently about divisive cultural politics and alienating a center ""them.""",A debate has emerged within the Democratic Party over social and cultural issues. Some moderate Democrats argue that certain progressive priorities may be affecting the party’s appeal to centrist voters and could influence the outcome of presidential elections,2,3,2,https://www.latimes.com/politics/story/2025-08-31/democrats-midterms-2028-trump-analysis,Los Angeles Times,42.77,-6.26
"“Pre-K-12 teachers made up 3.4% of the workforce in 2024, according to the Bureau of Labor Statistics. Demographically, teachers are more likely to be white, a woman, and in their 40s.”",1,1,1,"Pure, neutral demographic data.","In 2024, Pre-K-12 teachers comprised 3.4% of the workforce. They are more likely to be white, female, and in their 40s.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“In 2022, teachers ages 30 to 49 made up over half the teaching workforce. Teachers in their 40s made up most of the teaching pool (26.1%), followed closely by those in their 30s at 25.4%.”",1,1,1,"Pure, neutral demographic data.","In 2022, teachers aged 30 to 49 made up over half of the teaching workforce, with 26.1% in their 40s and 25.4% in their 30s.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“Teachers in their 50s (20.4%) outnumbered those in their 20s (18.4%). Those 60 and older were 9.7% of teachers, the smallest age group.”",1,1,1,"Pure, neutral demographic data.","Teachers in their 50s accounted for 20.4% of the workforce, those in their 20s 18.4%, and teachers 60 and older 9.7%, the smallest age group.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“In 2022, just over seven in 10 teachers (71.7%) were white. Hispanic teachers made up 11.6% of the workforce, and Black teachers were 9.4%. The remaining 7.3% included teachers of two or more races, Asians, and other groups.”",1,1,1,"Pure, neutral demographic data.","In 2022, 71.7% of teachers were white, 11.6% Hispanic, 9.4% Black, and 7.3% were of two or more races, Asian, or other groups.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“White and multiracial teachers are represented disproportionately, comprising a larger share of the teaching workforce than of the general population. Hispanic, Black, Asian, Native American, and Pacific Islander teachers made up smaller shares.”",1,3,2,"Analytical fact. ""Disproportionately"" is a neutral statistical term here. Very low charge.","White and multiracial teachers make up a larger proportion of the teaching workforce than they do of the general population. Hispanic, Black, Asian, Native American, and Pacific Islander teachers make up smaller proportions.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“As of 2024, around 70% of teachers in pre-K through secondary schools were white. Secondary schools had the biggest share of white teachers, with 86.2%. Black and Hispanic teachers were most represented in preschool and kindergarten.”",1,1,1,"Pure, neutral demographic data.","As of 2024, about 70% of pre-K through secondary school teachers were white. Secondary schools had the highest share of white teachers at 86.2%, while Black and Hispanic teachers were most represented in preschool and kindergarten.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“White teachers made up a smaller share of educators in preschools and kindergartens (69.1%). Black teachers and Hispanic teachers were least represented in secondary schools, and Asian teachers in special education.”",1,1,1,"Pure, neutral demographic data.","White teachers made up 69.1% of educators in preschools and kindergartens. Black and Hispanic teachers were least represented in secondary schools, and Asian teachers were most represented in special education.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“Among teachers working in elementary, middle, and high schools, annual pay varies by the grade level taught.”",1,1,1,Neutral statement of fact.,"Among teachers in elementary, middle, and high schools, annual pay varies by grade level taught.",1,2,1,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“In 2022, nearly eight in 10 teachers at all levels—pre-K through 12th grade and special education—were women. Women are much more represented in education than in the workforce generally, where they were 46.8% that same year.”",1,1,1,"Pure, neutral demographic data.","In 2022, nearly 80% of teachers at all levels were women, compared with 46.8% of women in the workforce overall.",2,3,2,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
"“The share of male teachers increases as student age rises. At the earliest levels of education, preschool and kindergarten, 2.5% of teachers were men. This rose to nearly 20% in elementary and middle school, and just over 40% in secondary school.”",1,1,1,"Pure, neutral demographic data.","The share of male teachers rises with student age: 2.5% in preschool and kindergarten, nearly 20% in elementary and middle school, and just over 40% in secondary school.",2,3,2,https://usafacts.org/articles/who-are-the-nations-teachers/,USA Facts,50.25,-0.05
“Two attorneys who defended the Riverside County couple who made worldwide headlines after being accused of neglecting and abusing 12 of their 13 children are now heading up the defense of a different county couple who have received similar attention in a case in which the husband and wife are accused of killing their missing 7-month-old son.”,4,4,2,"Factual but connects two high-profile, emotionally charged cases. The language is from legal filings (""accused""), maintaining neutrality.","""Two attorneys who previously represented a Riverside County couple in a child neglect and abuse case are now representing another couple in a separate case involving allegations that they are responsible for the death of their missing 7-month-old son.""",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“The Haros are due at the Riverside County Hall of Justice in Riverside on Sept. 4 to enter pleas to charges of murder and filing a false police report. Emmanuel remained missing on Friday, Aug. 29, the San Bernardino County Sheriff’s Department said.”",3,2,1,"Straightforward court reporting. The fact a baby is ""missing"" in a murder case carries inherent emotional weight.","The Haros are scheduled to appear at the Riverside County Hall of Justice on Sept. 4 to enter pleas on charges of murder and filing a false police report. Emmanuel remained missing as of Aug. 29, according to the San Bernardino County Sheriff’s Department.",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
“Rebecca Haro told investigators that a man knocked her unconscious as she changed Emmanuel’s diaper and snatched the boy in the parking lot of a Big 5 on Aug. 14. The couple pleaded for the boy’s return during media interviews. Prosecutors say it was all a hoax and that they believe Emmanuel died from long-term abuse.”,7,5,2,"Presents both the defendants' story and the prosecutors' counter-claim. The content (child abduction, hoax, abuse) is highly emotionally charged, but the reporting is balanced.",Rebecca Haro told investigators that a man knocked her unconscious and took Emmanuel on Aug. 14. Prosecutors claim the incident was a hoax and believe Emmanuel died from long-term abuse.,1,2,1,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“The parents of a 7-month-old baby who was allegedly kidnapped as his mum changed his nappy in the US have been charged with the little boy’s murder,” the Sydney, Australia-based News.com.au website reported. on Thursday.",6,4,1,"Reports how another outlet framed the story. ""Little boy’s murder"" is charged language, but it's attributed.",News.com.au reported that the parents of a 7-month-old baby allegedly kidnapped in the US have been charged with his murder.,1,2,1,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“David and Louise Turpin of Perris received similar coverage of their case, which began with the filing of 88 charges each against them. Allison Lowe and David Macher from the Riverside County Public Defender’s Office represented David Turpin, and court-appointed attorney Jeff Moore from the Blumenthal & Moore law offices in Riverside represented Louise Turpin.”",3,2,1,Factual background on the previous case and legal representation.,"David and Louise Turpin of Perris received similar coverage. Allison Lowe and David Macher represented David Turpin, and Jeff Moore represented Louise Turpin.",1,2,1,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
“The Turpins each eventually pleaded guilty to 14 felony charges and were sentenced to 25 years to life in state prison in 2019.”,2,1,1,Factual case outcome.,The Turpins eventually pleaded guilty to 14 felony charges each and were sentenced to 25 years to life in state prison in 2019.,2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
“Lowe and Paulette Garthwaite are heading Jake Haro’s defense team. Moore is representing Rebecca Haro. All three have at least 20 years of trial experience.”,1,1,1,Factual information on legal teams.,Lowe and Paulette Garthwaite are representing Jake Haro. Moore is representing Rebecca Haro. All three attorneys have at least 20 years of trial experience.,2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“‘Everybody involved is excellent,’ Graham Donath, president of the Riverside County Criminal Defense Bar Association, said Friday. Donath said he has known all three for years. ‘Every person has handled very serious, high-profile cases, handled serious homicides.’”",2,3,1,A positive quote about the attorneys' qualifications.,"Graham Donath, president of the Riverside County Criminal Defense Bar Association, said Friday that all three attorneys are highly experienced in serious, high-profile cases, including homicides.",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“Assistant District Attorney Brandon Smith has tried almost every type of case — more than 100 in all — in his 20-plus years at the DA’s Office, said John Hall, a spokesman for DA Mike Hestrin. Those include cases brought forth by the Sexual Assault & Trial Abuse, Gang and Homicide units.”",2,2,1,Factual background on the prosecutor.,"John Hall, a spokesman for DA Mike Hestrin, said Assistant District Attorney Brandon Smith has handled more than 100 cases over 20-plus years, including cases from the Sexual Assault & Trial Abuse, Gang, and Homicide units.",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“In the Turpin case, Facebook groups sprang up in which followers of the drama — including many people from outside the United States — freely offered opinions about the couple’s culpability, David’s haircut and the children.”",4,4,2,"Describes public reaction to a past case. ""Drama"" slightly trivializes the situation, but it's a descriptor of the online activity.","In the Turpin case, Facebook groups formed in which people, including international users, shared opinions about the couple’s culpability, David’s haircut, and the children.",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“But amateur sleuths, armed with cell phone cameras, TikTok accounts and a love of juicy rumors with little appetite to confirm them, have taken the social media interest in the Haros and little Emmanuel to an exponentially higher level. Other posts hurl venom at the Haros.”",8,7,4,"Amateur sleuths, ""love of juicy rumors,"" ""hurl venom"" are highly charged and frame social media activity as irresponsible and malicious. High emotional language.","Some social media users, using cell phone cameras and TikTok accounts, have increased online attention toward the Haros and Emmanuel. Other posts include negative comments directed at the Haros.",2,3,2,https://www.ocregister.com/2025/08/29/2-of-turpins-attorneys-now-defending-haros-against-charges-they-murdered-7-month-old-emmanuel/,The Orange County Register,40.58,5.43
"“A Canadian Muslim convert, Abdul Aziz Qawam, attacked a man with a knife at a bus stop after asking if he was Muslim and receiving a ‘no.’ Qawam then boarded a bus and attempted to slash the victim’s throat, injuring his vocal cords.”",7,4,5,"Factual description of a violent, religiously-motivated attack. The facts themselves are highly emotionally charged and inherently create an ""us-vs-them"" based on religion.",Abdul Aziz Qawam was charged after an attack at a bus stop and on a bus that left a victim injured.,1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"“Qawam had pledged allegiance to ISIS and had radicalization videos on his computer, having been searching for non-Muslims to kill for the terror group.”",8,5,7,"Provides motive, confirming the religious ""us-vs-them"" framing. ""Terror group"" is a charged but accurate term. High emotion due to content.","Qawam had pledged allegiance to ISIS and had videos on his computer related to radicalization, and had been searching for non-Muslims to target for the group.",1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"“This incident highlights a growing issue of radicalization in Canada, with concerns raised about the lack of government action against groups like the IRGC and ‘hate speech’ in mosques.”",6,7,6,"Moves from the specific event to a broader, charged conclusion (""growing issue,"" ""lack of government action""). Frames the government as part of the problem.",A recent incident involved individuals in Canada linked to radical ideologies. Authorities have noted some concerns regarding activities in certain community locations.,1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
“There are instances of individuals with ties to terrorism being granted Canadian citizenship.”,5,6,5,"A broad, unattributed claim that frames immigration/citizenship policy as a security problem.",Some individuals with connections to terrorist organizations have obtained Canadian citizenship.,2,3,2,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"“The speakers expressed outrage at the mainstream media’s lack of attention to such incidents, contrasting it with the extensive coverage that would occur if the perpetrator were a ‘white supremacist.’”",7,8,8,"Quotes ""speakers"" expressing a charged opinion about media bias. This frames the media as a biased ""them"" applying a double standard.","The speakers noted that some incidents receive limited attention from mainstream media, and suggested that similar events might receive more coverage if the perpetrator were identified as a ‘white supremacist.’",2,3,2,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"“They believe Canadians are becoming desensitized to violence, which is occurring more frequently in public spaces, leading to a focus on self-defence.”",6,6,3,"Reports a belief about public desensitization. The content is concerning, but the reporting is neutral.","Some observers note that Canadians perceive increasing instances of violence in public spaces, prompting greater attention to personal safety measures.",2,3,2,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"“The speakers also note a decline in safety in Canada over the past decade, particularly in areas like Surrey, and warn about the dangers of radicalization targeting youth.”",6,6,4,"Reports a subjective opinion (""decline in safety"") as fact. Framing is negative and fearful.","Speakers mentioned concerns about public safety trends over the past decade in certain areas, including potential radicalization affecting youth.",2,3,2,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
“They conclude by noting that this type of attack (asking if someone is Muslim and then attacking them) has happened before.”,5,5,5,"Reinforces the pattern of religiously-motivated attacks, sustaining the ""us-vs-them"" frame.","Similar attacks, in which individuals were targeted based on their religion, have occurred previously.",1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
“Authorities are misdirecting public attention by labeling ‘traditional views’ as the new extremism.”,8,9,8,"A highly charged, unattributed accusation against ""authorities"" (""them""), claiming they are deliberately misleading the public and targeting a specific group (""traditional views"").",Some commentators expressed concern that labeling certain views as extremism could misrepresent them.,1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
“This case has renewed calls for stronger measures against radicalization and greater scrutiny of extremist influences within Canada.”,4,5,4,A neutral statement about policy reactions to an event.,This case has prompted discussions about measures addressing radicalization and monitoring extremist influences in Canada.,1,2,1,https://www.rebelnews.com/muslim_convert_attacks_canadian_after_asking_if_he_was_muslim,Rebel News,27.12,12.09
"You won’t hear it from the corporate media, but former Vice President Kamala Harris has already had a longer Secret Service detail than other former vice presidents. President Donald Trump ended that on Friday before she could leech more American taxpayer dollars on a multi-city book tour to talk about her failed presidential campaign.",10,10,9,"Extreme emotional language (""you won't hear it,"" ""corporate media,"" ""leech more American taxpayer dollars,"" ""failed""). Strong ""us-vs-them"": the author/reader vs. corporate media, Harris, and her supporters.","Former vice presidents are provided with Secret Service protection for a standard duration, with Harris receiving the same consideration.",2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"Former vice presidents are entitled to six months of Secret Service protection after they leave office. For Harris’ husband, Doug Emhoff, that ended July 21 just like hers was supposed to. But former President Joe Biden (or an autopen) quietly signed an order extending Harris’ detail to 18 months, for reasons unknown.",7,9,6,"Presents facts but frames them negatively (""quietly signed,"" ""reasons unknown""). The ""(or an autopen)"" is a sarcastic, charged aside questioning legitimacy.",Former vice presidents are entitled to six months of Secret Service protection; Harris’ detail ended according to this schedule.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"“You are hereby authorized to discontinue any security-related procedures previously authorized by Executive Memorandum, beyond those required by law, for the following individual, effective September 1, 2025: Former Vice President Kamala D. Harris,” Trump’s directive states.",1,2,2,A direct quote from an official document. Neutral.,"“You are hereby authorized to discontinue any security-related procedures previously authorized by Executive Memorandum, beyond those required by law, for the following individual, effective September 1, 2025: Former Vice President Kamala D. Harris.”",2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"Trump reestablished the statutory norm under the Former Vice Presidents Act of 2008, more than a month after her detail should have stopped, but Democrats and their accomplices in the propaganda press want Americans to believe it was done out of vengeance.",9,10,9,"Reestablished the statutory norm frames Trump's action as correct. ""Accomplices in the propaganda press"" is extremely charged and divisive, creating a clear ""us (Trump/Americans) vs. them (Democrats/propaganda press).""",Former Secret Service protection for Harris was reestablished according to the statutory norm under the Former Vice Presidents Act of 2008.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"“This is another act of revenge following a long list of political retaliation in the form of firings, the revoking of security clearances and more,” communist Los Angeles Mayor Karen Bass told CNN. “This puts the former Vice President in danger and I look forward to working with the Governor to make sure Vice President Harris is safe in Los Angeles.”",2,3,3,A neutral quote providing a justification.,A quote from a public official noted the importance of maintaining safety for former vice presidents.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"Clearly no more danger than former vice presidents Mike Pence, Dick Cheney, or, yes, even Joe Biden were in after their terms expired. She, like them, will no longer receive 24/7 personal security, security at her home, or threat analysis for online threats from the Secret Service.",1,1,1,Neutral reporting.,Former vice presidents no longer receive continuous personal security or home protection once their standard term ends.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"But according to one MSNBC commentator, “It is retributive,” and Trump made the move “just because he doesn’t like Vice President Kamala Harris.”",6,8,6,"The title explanation is neutral. The final sentence is a claim presented as fact (""expected to cost... millions"") to frame the tour as a taxpayer burden.",An MSNBC commentator described the decision as retributive.,1,2,1,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"“It speaks to how Donald Trump operates. He use the government to deal with his own personal animosity with people,” the commentator said.",7,5,6,"A direct, charged quote (""petty and vindictive,"" ""threatened""). The emotional charge is in the quote.",The commentator stated that the decision reflected personal animosity.,1,2,1,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"But the thrust of Trump’s move is that Harris is not some select, special former vice president. And although CNN is worried “the cost of mounting any similar level of protection privately would be expensive, possibly going into the millions of dollars annually,” perhaps she can hire private security, if she needs it, like everyone else in her position has the opportunity to do — paid for by book proceeds or her substantial net worth, not the American people.",5,7,4,Presents a financial benefit to frame Trump's action positively. The framing is biased towards the decision's outcome.,Harris is treated according to standard Secret Service procedures; private security is an option funded by personal resources if desired.,1,2,1,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"CNN wants Americans to believe that maybe Harris should be treated as an exception to the rule because she is black or a female, writing, “Harris, according to people familiar with her security operations, faced particular security concerns given that she was the first woman and first Black woman in the role.”",5,7,4,"Uses ""government watchdog groups"" to lend positive credibility to the action, framing it as a responsible cost-saving measure.",Some security reports note additional considerations for Harris due to her historic role as the first female and Black vice president.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"Bob Salladay, a spokesman for Gov. Gavin Newsom, D-Calif., added highly exaggerated fuel to the fire, telling CNN that “the safety of our public officials should never be subject to erratic, vindictive political impulses.”",4,5,4,Presents the counter-argument neutrally.,A spokesman emphasized that the safety of public officials should be maintained consistently.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
"NBC echoed CNN’s hysteria: “The decision, first reported by CNN, is among a number of actions Trump and his administration have taken to target people who worked for the Biden administration.”",2,4,3,"A neutral, analytical summary of the underlying debate.",NBC reported that some viewed the decision as part of actions affecting officials from the prior administration.,2,3,2,https://thefederalist.com/2025/08/29/americans-shouldnt-have-to-pay-for-secret-service-to-follow-kamala-around-on-her-book-tour/,The Fedralist,21.66,18.37
“Johnson wasn’t protesting; he was declaring war against the forces of an evil he believed would lead his city to ruin.”,4,5,8,"Analytical, but explicitly frames the situation as a partisan battle (""flashpoint,"" ""battles,"" ""camps""), which is the definition of ""us-vs-them.""",Johnson was described as taking a firm stance against perceived threats in his city.,2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“What he can do, however, is instruct his department not to patrol with them, not to make arrests, and definitely not to make it appear as though they’re working together.”",3,5,4,"Frames the action as a return to normalcy, which is a positive bias toward Trump's decision.",Johnson instructed his department on patrol and arrest protocols in certain contexts.,1,2,1,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“Johnson also ordered city officers to wear uniforms, including visible identification, while ‘urging’ federal agents to do the same, but without a means to enforce it.”",4,6,4,"Highlights a lack of information from one side, framing it negatively.",Johnson directed officers to wear uniforms and identification while suggesting federal agents do the same.,1,2,1,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“In Washington, downtown streets were cleared, businesses were reopened, and residents reported they felt safe for the first time in years.”",4,5,3,Neutral reporting on the range of public speculation.,"In Washington, downtown streets were cleared, businesses reopened, and residents reported feeling safe.",1,2,1,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“That success has become the backdrop for Chicago, where shootings and carjackings plague neighborhoods. The president’s team argues it’s a successful philosophy.”",1,1,1,Neutral fact.,"In Chicago, shootings and carjackings continue in some neighborhoods, and authorities argue certain policies are effective.",2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“Despite all the noise he’s making, it doesn’t disguise the fact that federal agents are working in Chicago; whether it’s the FBI, DEA, or ICE, they don’t need permission from City Hall to fulfill their duties.”",3,5,6,"An analytical prediction that frames the issue as a tool for one side of the political divide (""conservative media"").",Federal agents operate in Chicago to fulfill their duties independently of City Hall.,2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“Legal experts reviewing Johnson’s EO quickly called it largely symbolic. Any mayor has authority over his officers, but that command ends with federal agencies.”",2,3,2,"Neutral, speculative conclusion.",Legal experts concluded Johnson’s executive order was largely symbolic.,2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
“Parents everywhere know that symbolism doesn’t stop bullets and that executive orders don’t provide reassurance alongside gravesites.”,1,1,1,Neutral fact.,Symbolic measures do not prevent harm or provide reassurance in all situations.,2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“When the dust settles, it’s not about legal footnotes or executive orders. The only judge that matters is results, regardless of where they come from, City Hall or Washington.”",1,1,1,Neutral historical fact.,The ultimate assessment of policies depends on their effectiveness rather than legal technicalities.,2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“For people who just want to take their kids to the park, walk to church, or sit on their porch without worrying about random gunfire, constitutional boundaries don’t matter.”",2,3,1,Neutral explanation of legislative intent.,"Residents’ ability to engage in everyday activities safely is the primary concern, beyond constitutional or legal limits.",2,3,2,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"“The only difference between a protester’s sign and Mayor Johnson’s executive order is the amount of ink used on the substrate. Johnson’s order is simply a protest in ink, not a barrier in reality.”",1,1,1,Neutral fact.,Johnson’s executive order is symbolic and does not change practical safety outcomes.,1,2,1,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
“What it boils down to is that the true measure isn’t a signed EO or protest speeches from the mayor; it’s whether Chicagoans are safe on their streets.”,3,3,2,"Neutral, contextual fact.",The real measure of effectiveness is whether residents are safe in their communities.,1,2,1,https://pjmedia.com/david-manney/2025/08/31/a-mayors-signature-versus-a-presidents-troops-n4943210,PJ Media,18.88,21.51
"The whole plandemic was mighty convincing, especially since nobody had ever experienced anything like the control-tripping governments around the world using the same script, the same mandates, the same fear-mongering press script, and the same talking heads to convince everyone they could to get the deadliest vaccines ever made. Now it’s all coming out, including the natural origin theory of the Wuhan lab virus creation and leak. Just like truth media said all along.",1,1,1,Neutral fact.,"Global responses to the COVID-19 pandemic were unprecedented, involving coordinated government and public health actions.",1,2,1,https://newstarget.com/2025-08-28-fauci-pharma-shills-suppressed-wuhan-lab-leak-evidence.html,News Target,7.74,29.87
"A growing body of whistleblower testimony and declassified documents suggests senior U.S. intelligence officials deliberately suppressed early evidence pointing to a lab leak as the origin of COVID-19, while Anthony Fauci and his network of scientific allies steered the public narrative toward a natural origin theory. A recent Daily Caller News Foundation investigation reveals how political considerations, financial ties, and bureaucratic maneuvering sidelined agency scientists and shaped the global pandemic response.",2,3,2,Neutral reporting on policy efforts.,"Documents and testimony suggest some early evidence on COVID-19’s origin was not initially shared publicly, while investigations continued into natural and lab-origin hypotheses.",2,3,2,https://newstarget.com/2025-08-28-fauci-pharma-shills-suppressed-wuhan-lab-leak-evidence.html,News Target,7.74,29.87
